Frame,Element,Mass,X1,Y1,Z1
KEEL_LOCAL_ATT,MLG Door Attachment 1,3700,23388.6375,-262.5,-2030.9562834914755
KEEL_LOCAL_ATT,MLG Door Attachment 2,1800,24753.8875,-262.5,-2030.9562834914755
