Frame,Element,Mass,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,Thickness,Area_mm2,Volume_mm3
RIBS,1,630.8197349999999,19975.5125,-257.6277777777778,-2143.4562834914755,19975.5125,-257.6277777777778,-1921.7062834914755,19975.5125,0.0,-1921.7062834914755,19975.5125,0.0,-2161.4285714285716,5.0,59441.2,222904.49999999997
RIBS,2,630.8197349999999,20316.825,-257.6277777777778,-2143.4562834914755,20316.825,-257.6277777777778,-1921.7062834914755,20316.825,0.0,-1921.7062834914755,20316.825,0.0,-2161.4285714285716,5.0,59441.2,222904.49999999997
RIBS,3,630.8197349999999,20658.1375,-257.6277777777778,-2143.4562834914755,20658.1375,-257.6277777777778,-1921.7062834914755,20658.1375,0.0,-1921.7062834914755,20658.1375,0.0,-2161.4285714285716,5.0,59441.2,222904.49999999997
RIBS,4,630.8197349999999,20999.45,-257.6277777777778,-2143.4562834914755,20999.45,-257.6277777777778,-1921.7062834914755,20999.45,0.0,-1921.7062834914755,20999.45,0.0,-2161.4285714285716,5.0,59441.2,222904.49999999997
RIBS,5,630.8197349999999,21340.7625,-257.6277777777778,-2143.4562834914755,21340.7625,-257.6277777777778,-1921.7062834914755,21340.7625,0.0,-1921.7062834914755,21340.7625,0.0,-2161.4285714285716,5.0,59441.2,222904.49999999997
RIBS,6,630.8197349999999,21682.075,-257.6277777777778,-2143.4562834914755,21682.075,-257.6277777777778,-1921.7062834914755,21682.075,0.0,-1921.7062834914755,21682.075,0.0,-2161.4285714285716,5.0,59441.2,222904.49999999997
RIBS,7,630.8197349999999,22023.3875,-257.6277777777778,-2143.4562834914755,22023.3875,-257.6277777777778,-1921.7062834914755,22023.3875,0.0,-1921.7062834914755,22023.3875,0.0,-2161.4285714285716,5.0,59441.2,222904.49999999997
RIBS,8,630.8197349999999,22364.7,-257.6277777777778,-2143.4562834914755,22364.7,-257.6277777777778,-1921.7062834914755,22364.7,0.0,-1921.7062834914755,22364.7,0.0,-2161.4285714285716,5.0,59441.2,222904.49999999997
RIBS,9,630.8197349999999,22706.0125,-257.6277777777778,-2143.4562834914755,22706.0125,-257.6277777777778,-1921.7062834914755,22706.0125,0.0,-1921.7062834914755,22706.0125,0.0,-2161.4285714285716,5.0,59441.2,222904.49999999997
RIBS,10,1261.6394699999998,23047.325,-257.6277777777778,-2143.4562834914755,23047.325,-257.6277777777778,-1921.7062834914755,23047.325,0.0,-1921.7062834914755,23047.325,0.0,-2161.4285714285716,10.0,59441.2,445808.99999999994
RIBS,11,630.8197349999999,23388.6375,-257.6277777777778,-2143.4562834914755,23388.6375,-257.6277777777778,-1921.7062834914755,23388.6375,0.0,-1921.7062834914755,23388.6375,0.0,-2161.4285714285716,5.0,59441.2,222904.49999999997
RIBS,12,630.8197349999999,23729.95,-257.6277777777778,-2143.4562834914755,23729.95,-257.6277777777778,-1921.7062834914755,23729.95,0.0,-1921.7062834914755,23729.95,0.0,-2161.4285714285716,5.0,59441.2,222904.49999999997
RIBS,13,630.8197349999999,24071.2625,-257.6277777777778,-2143.4562834914755,24071.2625,-257.6277777777778,-1921.7062834914755,24071.2625,0.0,-1921.7062834914755,24071.2625,0.0,-2161.4285714285716,5.0,59441.2,222904.49999999997
RIBS,14,1261.6394699999998,24412.575,-257.6277777777778,-2143.4562834914755,24412.575,-257.6277777777778,-1921.7062834914755,24412.575,0.0,-1921.7062834914755,24412.575,0.0,-2161.4285714285716,10.0,59441.2,445808.99999999994
RIBS,15,630.8197349999999,24753.8875,-257.6277777777778,-2143.4562834914755,24753.8875,-257.6277777777778,-1921.7062834914755,24753.8875,0.0,-1921.7062834914755,24753.8875,0.0,-2161.4285714285716,5.0,59441.2,222904.49999999997
