Frame,Element,Mass,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,Area_mm2,Volume_mm3
FWD BTM PNL,1,3826.16,19634.2,0,-2166,19634.2,-449.6157707864738,-2112.784466685925,19634.2,-877.379491331751,-1954.5498616810296,20384.2,0,-2166,20384.2,-151.11221837182936,-2160.0627847700043,20384.2,-301.29277966748464,-2142.2877439862355,450666.6666666667,1352000
MID PNL,2,9620.28785,20384.2,0,-2166,20384.2,-151.11221837182936,-2160.0627847700043,20384.2,-301.29277966748464,-2142.2877439862355,22631.4,0,-2166,22631.4,-151.11221837182936,-2160.0627847700043,22631.4,-301.29277966748464,-2142.2877439862355,679879.0,3399395
MID PNL,3,5324.214840000001,22631.4,0,-2166,22631.4,-151.11221837182936,-2160.0627847700043,22631.4,-301.29277966748464,-2142.2877439862355,24186.0,0,-2166,24186.0,-151.11221837182936,-2160.0627847700043,24186.0,-301.29277966748464,-2142.2877439862355,470337.0,1881348
AFT BTM PNL,4,3504.99745,24186.0,0,-2166,24186.0,-151.11221837182936,-2160.0627847700043,24186.0,-301.29277966748464,-2142.2877439862355,24887.899999999998,0,-2166,24887.899999999998,-201.32182025350056,-2155.4491704792945,24887.899999999998,-400.4379165150044,-2123.9122790133097,247703.0,1238515
AFT BTM PNL,5,1602.5441,24887.899999999998,0,-2166,24887.899999999998,-201.32182025350056,-2155.4491704792945,24887.899999999998,-400.4379165150044,-2123.9122790133097,25128.6,0,-2166,25128.6,-268.04739244908603,-2147.2563003962646,25128.6,-530.8775473035404,-2091.390026377202,113254.0,566270
AFT BTM PNL,6,1854.82445,25128.6,0,-2166,25128.6,-268.04739244908603,-2147.2563003962646,25128.6,-530.8775473035404,-2091.390026377202,25299.8,0,-2166,25299.8,-498.48548086745495,-2100.373141432746,25299.8,-962.9999999999999,-1907.964927688829,131083.0,655415
AFT BTM PNL,7,4691.8853,25299.8,0,-2166,25299.8,-498.48548086745495,-2100.373141432746,25299.8,-962.9999999999999,-1907.964927688829,25628.6,0,-2166,25628.6,-498.48548086745495,-2100.373141432746,25628.6,-962.9999999999999,-1907.964927688829,331582.0,1657910
