Frame,Strut,Element,Mass,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,Thickness
C29,OBD_STRUT,IBD_FLANGE,19,12168.0,331.6,-1911.2,12193.0,331.6,-1911.2,12193.0,366.6,-2087.2,12168.0,366.6,-2087.2,-1.6
C29,OBD_STRUT,OBD_FLANGE,19,12168.0,368.4,-1911.2,12193.0,368.4,-1911.2,12193.0,403.4,-2087.2,12168.0,403.4,-2087.2,1.6
C29,MID_STRUT,WEB,46,12168.0,30.5,-1911.2,12168.0,-30.5,-1911.2,12168.0,81.9,-2087.2,12168.0,142.9,-2087.2,1.4
C29,MID_STRUT,IBD_FLANGE,16,12168.0,-30.5,-1911.2,12183.0,-30.5,-1911.2,12183.0,81.9,-2087.2,12168.0,81.9,-2087.2,-1.4
C29,MID_STRUT,OBD_FLANGE,16,12168.0,30.5,-1911.2,12183.0,30.5,-1911.2,12183.0,142.9,-2087.2,12168.0,142.9,-2087.2,1.4
C30,OBD_STRUT,WEB,27,12701.4,368.4,-1911.2,12701.4,331.6,-1911.2,12701.4,366.6,-2087.2,12701.4,403.4,-2087.2,1.6
C30,OBD_STRUT,IBD_FLANGE,19,12701.4,331.6,-1911.2,12726.4,331.6,-1911.2,12726.4,366.6,-2087.2,12701.4,366.6,-2087.2,-1.6
C30,OBD_STRUT,OBD_FLANGE,19,12701.4,368.4,-1911.2,12726.4,368.4,-1911.2,12726.4,403.4,-2087.2,12701.4,403.4,-2087.2,1.6
C30,MID_STRUT,WEB,46,12701.4,30.5,-1911.2,12701.4,-30.5,-1911.2,12701.4,81.9,-2087.2,12701.4,142.9,-2087.2,1.4
C30,MID_STRUT,IBD_FLANGE,16,12701.4,-30.5,-1911.2,12716.4,-30.5,-1911.2,12716.4,81.9,-2087.2,12701.4,81.9,-2087.2,-1.4
C30,MID_STRUT,OBD_FLANGE,16,12701.4,30.5,-1911.2,12716.4,30.5,-1911.2,12716.4,142.9,-2087.2,12701.4,142.9,-2087.2,1.4
C31,OBD_STRUT,WEB,27,13234.8,368.4,-1911.2,13234.8,331.6,-1911.2,13234.8,366.6,-2087.2,13234.8,403.4,-2087.2,1.6
C31,OBD_STRUT,IBD_FLANGE,19,13234.8,331.6,-1911.2,13259.8,331.6,-1911.2,13259.8,366.6,-2087.2,13234.8,366.6,-2087.2,-1.6
C31,OBD_STRUT,OBD_FLANGE,19,13234.8,368.4,-1911.2,13259.8,368.4,-1911.2,13259.8,403.4,-2087.2,13234.8,403.4,-2087.2,1.6
C31,MID_STRUT,WEB,46,13234.8,30.5,-1911.2,13234.8,-30.5,-1911.2,13234.8,81.9,-2087.2,13234.8,142.9,-2087.2,1.4
C31,MID_STRUT,IBD_FLANGE,16,13234.8,-30.5,-1911.2,13249.8,-30.5,-1911.2,13249.8,81.9,-2087.2,13234.8,81.9,-2087.2,-1.4
C31,MID_STRUT,OBD_FLANGE,16,13234.8,30.5,-1911.2,13249.8,30.5,-1911.2,13249.8,142.9,-2087.2,13234.8,142.9,-2087.2,1.4
C32,OBD_STRUT,WEB,27,13768.2,368.4,-1911.2,13768.2,331.6,-1911.2,13768.2,366.6,-2087.2,13768.2,403.4,-2087.2,1.6
C32,OBD_STRUT,IBD_FLANGE,19,13768.2,331.6,-1911.2,13793.2,331.6,-1911.2,13793.2,366.6,-2087.2,13768.2,366.6,-2087.2,-1.6
C32,OBD_STRUT,OBD_FLANGE,19,13768.2,368.4,-1911.2,13793.2,368.4,-1911.2,13793.2,403.4,-2087.2,13768.2,403.4,-2087.2,1.6
C32,MID_STRUT,WEB,46,13768.2,30.5,-1911.2,13768.2,-30.5,-1911.2,13768.2,81.9,-2087.2,13768.2,142.9,-2087.2,1.4
C32,MID_STRUT,IBD_FLANGE,16,13768.2,-30.5,-1911.2,13783.2,-30.5,-1911.2,13783.2,81.9,-2087.2,13768.2,81.9,-2087.2,-1.4
C32,MID_STRUT,OBD_FLANGE,16,13768.2,30.5,-1911.2,13783.2,30.5,-1911.2,13783.2,142.9,-2087.2,13768.2,142.9,-2087.2,1.4
C33,OBD_STRUT,WEB,27,14301.6,368.4,-1911.2,14301.6,331.6,-1911.2,14301.6,366.6,-2087.2,14301.6,403.4,-2087.2,1.6
C33,OBD_STRUT,IBD_FLANGE,19,14301.6,331.6,-1911.2,14326.6,331.6,-1911.2,14326.6,366.6,-2087.2,14301.6,366.6,-2087.2,-1.6
C33,OBD_STRUT,OBD_FLANGE,19,14301.6,368.4,-1911.2,14326.6,368.4,-1911.2,14326.6,403.4,-2087.2,14301.6,403.4,-2087.2,1.6
C33,MID_STRUT,WEB,46,14301.6,30.5,-1911.2,14301.6,-30.5,-1911.2,14301.6,81.9,-2087.2,14301.6,142.9,-2087.2,1.4
C33,MID_STRUT,IBD_FLANGE,16,14301.6,-30.5,-1911.2,14316.6,-30.5,-1911.2,14316.6,81.9,-2087.2,14301.6,81.9,-2087.2,-1.4
C33,MID_STRUT,OBD_FLANGE,16,14301.6,30.5,-1911.2,14316.6,30.5,-1911.2,14316.6,142.9,-2087.2,14301.6,142.9,-2087.2,1.4
C34,OBD_STRUT,WEB,27,14835.0,368.4,-1911.2,14835.0,331.6,-1911.2,14835.0,366.6,-2087.2,14835.0,403.4,-2087.2,1.6
C34,OBD_STRUT,IBD_FLANGE,19,14835.0,331.6,-1911.2,14860.0,331.6,-1911.2,14860.0,366.6,-2087.2,14835.0,366.6,-2087.2,-1.6
C34,OBD_STRUT,OBD_FLANGE,19,14835.0,368.4,-1911.2,14860.0,368.4,-1911.2,14860.0,403.4,-2087.2,14835.0,403.4,-2087.2,1.6
C34,MID_STRUT,WEB,46,14835.0,30.5,-1911.2,14835.0,-30.5,-1911.2,14835.0,81.9,-2087.2,14835.0,142.9,-2087.2,1.4
C34,MID_STRUT,IBD_FLANGE,16,14835.0,-30.5,-1911.2,14850.0,-30.5,-1911.2,14850.0,81.9,-2087.2,14835.0,81.9,-2087.2,-1.4
C34,MID_STRUT,OBD_FLANGE,16,14835.0,30.5,-1911.2,14850.0,30.5,-1911.2,14850.0,142.9,-2087.2,14835.0,142.9,-2087.2,1.4
C35,OBD_STRUT,WEB,27,15368.4,368.4,-1911.2,15368.4,331.6,-1911.2,15368.4,366.6,-2087.2,15368.4,403.4,-2087.2,1.6
C35,OBD_STRUT,IBD_FLANGE,19,15368.4,331.6,-1911.2,15393.4,331.6,-1911.2,15393.4,366.6,-2087.2,15368.4,366.6,-2087.2,-1.6
C35,OBD_STRUT,OBD_FLANGE,19,15368.4,368.4,-1911.2,15393.4,368.4,-1911.2,15393.4,403.4,-2087.2,15368.4,403.4,-2087.2,1.6
C35,MID_STRUT,WEB,46,15368.4,30.5,-1911.2,15368.4,-30.5,-1911.2,15368.4,81.9,-2087.2,15368.4,142.9,-2087.2,1.4
C35,MID_STRUT,IBD_FLANGE,16,15368.4,-30.5,-1911.2,15383.4,-30.5,-1911.2,15383.4,81.9,-2087.2,15368.4,81.9,-2087.2,-1.4
C35,MID_STRUT,OBD_FLANGE,16,15368.4,30.5,-1911.2,15383.4,30.5,-1911.2,15383.4,142.9,-2087.2,15368.4,142.9,-2087.2,1.4
