Frame,Element,Mass,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,Area_mm2,Length_mm
TOP_STRINGERS,STRINGER 1,4404.569549999997,19634.2,-262.5,-1918.4562834914755,25095.199999999997,-262.5,-1918.4562834914755,,,,285,5460.999999999996
TOP_STRINGERS,STRINGER 2,4512.751959999997,19634.2,-131.25,-1918.4562834914755,25095.199999999997,-131.25,-1918.4562834914755,,,,292,5460.999999999996
BTM_STRINGERS,STRINGER 1,9195.504849999994,19634.2,-262.5,-2148.027712062904,25095.199999999997,-262.5,-2148.027712062904,,,,595,5460.999999999996
BTM_STRINGERS,STRINGER 2,5192.755679999997,19634.2,-131.25,-2161.5226872196954,25095.199999999997,-131.25,-2161.5226872196954,,,,336,5460.999999999996
BTM_STRINGERS,STRINGER 3,2596.3778399999983,19634.2,0.0,-2166.0,25095.199999999997,0.0,-2166.0,,,,336,5460.999999999996
BTM_PANEL_REINF,FWD,1102.3534350127097,19634.2,-877.379491331751,-1954.5498616810296,20384.2,-301.29277966748464,-2142.2877439862355,,,,404,964.1687672853704
BTM_PANEL_REINF,AFT,1773.0164005649874,24887.899999999998,-400.4379165150044,-2123.9122790133097,25128.6,-530.8775473035404,-2091.390026377202,25299.8,-962.9999999999999,-1907.964927688829,404,775.3806460855172
