name,value
CROSS_BEAM_DATUM,-1909.8
CARGO_FLOOR_DATUM,-1897.5
OBD_STRUT_TOP_DATUM,350.0
OBD_STRUT_BTM_DATUM,385.0
MID_STRUT_TOP_DATUM,0.0
MID_STRUT_BTM_DATUM,112.4
